File Created: 	2022-04-26 16:24:19	

	
Times	TC0	TC1	TC2	TC3	TC4	TC5	TC6	TC7	TC8	TC9	TC10	TC11	TC12	TC13	TC14	TC15	aP-µsoot	test	dP1-Fuji	dP1-blå	aP5-bDPF	dP3-DPF	aP1-DMS	aP5-dil	AI3_0	AI3_1	AI3_2	AI3_3	AI3_4	AI3_5	AI3_6	AI3_7	Dpgrön	tmp2	tmp3	tmp4	AI4_0	AI4_1	AI4_2	AI4_3	co	co2	NO	NOx	AI5_0	AI5_1	AI5_2	AI5_3	MFC1 Set Val[mln/min]\t	MFC2 Set Val[mln/min]\t	MFC3 Set Val[mln/min]\t	MFC4 Set Val[mln/min]\t	MFC5 Set Val[mln/min]\t	MFC1 Act Val[mln/min]	MFC2 Act Val[mln/min]	MFC3 Act Val[mln/min]	MFC4 Act Val[mln/min]	MFC5 Act Val[mln/min]	Temp SP	Temp PV	co2 M	co M	
9,90000E-1	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	2,30954E+3	-1,24998E+0	-0,00000E+0	-4,13775E-1	2,36360E-4	-9,99969E-2	-1,25006E-1	-1,27548E+0	-1,80212E+0	3,96575E-7	-5,65892E-7	3,76811E-3	4,12540E-3	1,22266E-7	-1,96900E-7	4,80096E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
1,99000E+0	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	-1,25000E+0	-0,00000E+0	-9,71561E-1	2,43558E-4	-9,99887E-2	-1,25016E-1	-1,27552E+0	-1,80197E+0	6,86980E-8	-5,65892E-7	3,73859E-3	4,12770E-3	4,50329E-7	-5,24994E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	1,21378E-1	1,04645E+1	1,03277E+1	1,04550E+1	1,21378E-3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
2,99000E+0	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	-1,24998E+0	0,00000E+0	-4,57158E-1	2,15792E-4	-1,00005E-1	-1,24986E-1	-1,27554E+0	-1,80197E+0	3,96575E-7	9,00100E-8	3,76581E-3	4,11884E-3	-2,05797E-7	4,59288E-7	-5,04402E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
3,99100E+0	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	-1,25004E+0	-0,00000E+0	5,09671E-1	2,47672E-4	-1,00005E-1	-1,25016E-1	-1,27550E+0	-1,80226E+0	-5,87056E-7	-2,37941E-7	3,81697E-3	4,12901E-3	-2,05797E-7	-5,24994E-7	1,51930E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
4,99200E+0	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	-1,24998E+0	-0,00000E+0	-4,50960E-1	2,17849E-4	-9,99887E-2	-1,24986E-1	-1,27552E+0	-1,80197E+0	3,96575E-7	-2,37941E-7	3,76614E-3	4,11949E-3	4,50329E-7	4,59288E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,13000E+2
5,99200E+0	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	-1,24998E+0	-0,00000E+0	-1,45498E+0	2,24019E-4	-1,00013E-1	-1,25006E-1	-1,27554E+0	-1,80197E+0	3,96575E-7	-8,93843E-7	3,71301E-3	4,12146E-3	-5,33860E-7	-1,96900E-7	-5,04402E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
6,99200E+0	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	-1,25002E+0	-0,00000E+0	8,25750E-1	2,32246E-4	-9,99969E-2	-1,24996E-1	-1,27550E+0	-1,80240E+0	-2,59179E-7	-5,65892E-7	3,83369E-3	4,12409E-3	1,22266E-7	1,31194E-7	1,51930E-7	-8,31143E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
7,99200E+0	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	2,30957E+3	-1,25002E+0	-0,00000E+0	2,13345E+0	2,28133E-4	-9,99969E-2	-1,25006E-1	-1,27550E+0	-1,80212E+0	-2,59179E-7	-2,37941E-7	3,90289E-3	4,12277E-3	1,22266E-7	-1,96900E-7	1,51930E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
8,99300E+0	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	2,30956E+3	-1,25000E+0	-0,00000E+0	1,68802E-1	2,39445E-4	-1,00005E-1	-1,25016E-1	-1,27552E+0	-1,80197E+0	6,86980E-8	-2,37941E-7	3,79893E-3	4,12638E-3	-2,05797E-7	-5,24994E-7	-1,76236E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
9,99300E+0	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	2,30955E+3	-1,25002E+0	-0,00000E+0	-1,04593E+0	2,27104E-4	-1,00005E-1	-1,25006E-1	-1,27550E+0	-1,80226E+0	-2,59179E-7	-2,37941E-7	3,73466E-3	4,12245E-3	-2,05797E-7	-1,96900E-7	1,51930E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	4,77000E-2	-1,12700E+2
