File Created: 	2022-04-26 11:20:46	

	
Times	TC0	TC1	TC2	TC3	TC4	TC5	TC6	TC7	TC8	TC9	TC10	TC11	TC12	TC13	TC14	TC15	aP-µsoot	test	dP1-Fuji	dP1-blå	aP5-bDPF	dP3-DPF	aP1-DMS	aP5-dil	AI3_0	AI3_1	AI3_2	AI3_3	AI3_4	AI3_5	AI3_6	AI3_7	Dpgrön	tmp2	tmp3	tmp4	AI4_0	AI4_1	AI4_2	AI4_3	co	co2	NO	NOx	AI5_0	AI5_1	AI5_2	AI5_3	MFC1 Set Val[mln/min]\t	MFC2 Set Val[mln/min]\t	MFC3 Set Val[mln/min]\t	MFC4 Set Val[mln/min]\t	MFC5 Set Val[mln/min]\t	MFC1 Act Val[mln/min]	MFC2 Act Val[mln/min]	MFC3 Act Val[mln/min]	MFC4 Act Val[mln/min]	MFC5 Act Val[mln/min]	Temp SP	Temp PV	co2 M	co M	
1,09960E+1	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,24998E+0	-0,00000E+0	-1,06452E+0	2,47672E-4	-9,99887E-2	-1,25016E-1	-1,27548E+0	-1,80197E+0	3,96575E-7	-8,93843E-7	3,73367E-3	4,12901E-3	4,50329E-7	-5,24994E-7	4,80096E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,11000E+2
1,19970E+1	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	2,30951E+3	-1,25000E+0	0,00000E+0	-3,14613E-1	2,50757E-4	-1,00013E-1	-1,24996E-1	-1,27552E+0	-1,80226E+0	6,86980E-8	7,45912E-7	3,77335E-3	4,12999E-3	-5,33860E-7	1,31194E-7	-1,76236E-7	-5,02972E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	8,98045E-2	1,04645E+1	1,03277E+1	1,04550E+1	8,98045E-4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,11000E+2
1,29980E+1	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,25002E+0	0,00000E+0	1,66243E+0	2,37388E-4	-9,99969E-2	-1,24975E-1	-1,27552E+0	-1,80212E+0	-2,59179E-7	9,00100E-8	3,87797E-3	4,12573E-3	1,22266E-7	7,87382E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,11000E+2
1,39980E+1	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25002E+0	0,00000E+0	9,06319E-1	2,19906E-4	-1,00013E-1	-1,24996E-1	-1,27552E+0	-1,80212E+0	-2,59179E-7	4,17961E-7	3,83796E-3	4,12015E-3	-5,33860E-7	1,31194E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,98000E-2	-1,10700E+2
1,49980E+1	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	2,30947E+3	-1,25004E+0	-0,00000E+0	-1,59752E+0	2,62069E-4	-1,00005E-1	-1,24996E-1	-1,27554E+0	-1,80183E+0	-5,87056E-7	-2,37941E-7	3,70547E-3	4,13360E-3	-2,05797E-7	1,31194E-7	-5,04402E-7	4,81541E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	1,14063E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,98000E-2	-1,10700E+2
1,59990E+1	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,25006E+0	-0,00000E+0	-7,73237E-1	2,52814E-4	-1,00013E-1	-1,24986E-1	-1,27552E+0	-1,80212E+0	-9,14933E-7	-2,37941E-7	3,74909E-3	4,13065E-3	-5,33860E-7	4,59288E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,73375E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,10700E+2
1,69990E+1	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,25004E+0	0,00000E+0	1,14183E+0	2,28133E-4	-9,99969E-2	-1,24975E-1	-1,27552E+0	-1,80212E+0	-5,87056E-7	9,00100E-8	3,85042E-3	4,12277E-3	1,22266E-7	7,87382E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,96375E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,98000E-2	-1,10700E+2
1,79990E+1	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	2,30949E+3	-1,25002E+0	0,00000E+0	4,41497E-1	2,32246E-4	-1,00005E-1	-1,24986E-1	-1,27552E+0	-1,80212E+0	-2,59179E-7	9,00100E-8	3,81336E-3	4,12409E-3	-2,05797E-7	4,59288E-7	-1,76236E-7	-1,74801E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	2,66567E-2	1,04645E+1	1,03277E+1	1,04550E+1	2,66567E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,98688E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,10700E+2
1,90000E+1	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	2,30950E+3	-1,25000E+0	0,00000E+0	-2,27846E-1	2,19906E-4	-9,99887E-2	-1,24996E-1	-1,27552E+0	-1,80255E+0	6,86980E-8	7,45912E-7	3,77794E-3	4,12015E-3	4,50329E-7	1,31194E-7	-1,76236E-7	-1,15931E-6	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	-4,91720E-3	1,04645E+1	1,03277E+1	1,04550E+1	-4,91720E-5	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,98813E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,10700E+2
2,00010E+1	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	2,30948E+3	-1,25002E+0	-0,00000E+0	-5,81110E-1	2,17849E-4	-1,00005E-1	-1,24986E-1	-1,27548E+0	-1,80197E+0	-2,59179E-7	-2,37941E-7	3,75925E-3	4,11949E-3	-2,05797E-7	4,59288E-7	4,80096E-7	1,53370E-7	2,09018E+2	0,00000E+0	0,00000E+0	0,00000E+0	1,04509E+1	1,03334E+1	1,04678E+1	1,03289E+1	NaN	NaN	1,04550E+3	5,82306E-2	1,04645E+1	1,03277E+1	1,04550E+1	5,82306E-4	1,00000E+4	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	9,98250E+3	0,00000E+0	0,00000E+0	0,00000E+0	0,00000E+0	2,00000E+1	0,00000E+0	4,97000E-2	-1,10700E+2
