processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2987; 0.50; 1.60; 21.52; 10223.80; 13.31; 705.30;400;0;22;3;4;14;44;32;0;0;0;0;449;462; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
4987; 0.50; 1.60; 21.52; 10223.80; 13.31; 709.79;400;0;22;3;4;14;44;34;0;0;0;0;449;459; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.00; ERRORS : 
6987; 0.60; 1.70; 21.52; 10223.60; 13.31; 709.79;400;0;22;3;4;14;44;36;0;0;0;0;448;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
8987; 0.50; 1.50; 21.53; 10223.80; 13.30; 711.30;400;0;22;3;4;14;44;38;0;0;0;0;444;439; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
10987; 0.60; 1.50; 21.53; 10223.80; 13.28; 710.54;400;0;22;3;4;14;44;40;0;0;0;0;447;460; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
12987; 0.60; 1.50; 21.53; 10223.80; 13.28; 709.04;400;0;22;3;4;14;44;42;0;0;0;0;453;490; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
14987; 0.60; 1.70; 21.54; 10223.80; 13.28; 709.79;400;0;22;3;4;14;44;44;0;0;0;0;453;427; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
16987; 0.60; 1.70; 21.54; 10223.60; 13.28; 708.29;403;0;22;3;4;14;44;46;0;0;0;0;451;475; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
18987; 0.60; 1.60; 21.54; 10224.00; 13.27; 712.05;400;0;22;3;4;14;44;48;0;0;0;0;449;445; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
20987; 0.60; 1.60; 21.54; 10224.00; 13.25; 711.30;400;0;22;3;4;14;44;50;0;0;0;0;448;421; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
22987; 0.60; 1.50; 21.55; 10223.80; 13.25; 711.30;400;0;22;3;4;14;44;52;0;0;0;0;449;454; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
24987; 0.60; 1.60; 21.55; 10223.80; 13.24; 706.79;400;0;22;3;4;14;44;54;0;0;0;0;447;449; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
26987; 0.60; 1.60; 21.55; 10223.80; 13.24; 712.05;400;0;22;3;4;14;44;56;0;0;0;0;453;465; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
28987; 0.60; 1.60; 21.56; 10223.60; 13.23; 713.57;400;0;22;3;4;14;44;58;0;0;0;0;454;457; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
30987; 0.60; 1.60; 21.56; 10223.60; 13.23; 714.33;400;0;22;3;4;14;45;0;0;0;0;0;455;431; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.80; ERRORS : 
32987; 0.70; 1.70; 21.56; 10223.40; 13.22; 709.79;400;0;22;3;4;14;45;2;0;0;0;0;449;418; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
34987; 0.70; 1.70; 21.56; 10223.80; 13.21; 713.57;400;0;22;3;4;14;45;4;0;0;0;0;447;459; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
36987; 0.60; 1.70; 21.57; 10223.60; 13.20; 711.30;400;0;22;3;4;14;45;6;0;0;0;0;447;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
38987; 0.60; 1.70; 21.57; 10223.60; 13.20; 714.33;400;0;22;3;4;14;45;8;0;0;0;0;452;455; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
40987; 0.60; 1.70; 21.57; 10223.60; 13.19; 715.10;400;0;22;3;4;14;45;10;0;0;0;0;452;431; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
42987; 0.60; 1.80; 21.58; 10223.60; 13.19; 713.57;400;0;22;3;4;14;45;12;0;0;0;0;452;445; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
44987; 0.60; 1.70; 21.58; 10223.80; 13.18; 715.10;400;0;22;3;4;14;45;14;0;0;0;0;448;439; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
46987; 0.60; 1.80; 21.58; 10223.80; 13.17; 715.10;400;0;22;3;4;14;45;16;0;0;0;0;444;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
48987; 0.60; 2.00; 21.59; 10224.00; 13.18; 716.63;400;0;22;3;4;14;45;18;0;0;0;0;436;419; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
50987; 0.60; 2.00; 21.59; 10224.00; 13.16; 713.57;400;0;22;3;4;14;45;20;0;0;0;0;436;436; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
52987; 0.60; 2.00; 21.59; 10224.00; 13.16; 709.79;400;0;22;3;4;14;45;22;0;0;0;0;436;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
54987; 0.70; 2.00; 21.60; 10224.00; 13.15; 718.17;400;0;22;3;4;14;45;24;0;0;0;0;442;481; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
56987; 0.60; 2.00; 21.60; 10223.80; 13.14; 715.10;400;0;22;3;4;14;45;26;0;0;0;0;445;472; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
58987; 0.60; 2.00; 21.60; 10224.00; 13.12; 715.10;400;0;22;3;4;14;45;28;0;0;0;0;448;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
60987; 0.60; 2.00; 21.60; 10223.80; 13.11; 713.57;400;0;22;3;4;14;45;30;0;0;0;0;452;457; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
62987; 0.60; 1.80; 21.61; 10223.60; 13.10; 715.86;400;0;22;3;4;14;45;32;0;0;0;0;452;457; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
64987; 0.60; 1.90; 21.61; 10223.60; 13.09; 717.40;400;0;22;3;4;14;45;34;0;0;0;0;452;487; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
66987; 0.60; 1.80; 21.62; 10223.40; 13.10; 717.40;403;0;22;3;4;14;45;36;0;0;0;0;452;452; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
68987; 0.60; 1.90; 21.62; 10223.40; 13.09; 721.26;403;0;22;3;4;14;45;38;0;0;0;0;447;397; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
70987; 0.60; 1.80; 21.62; 10223.20; 13.07; 713.57;400;0;22;3;4;14;45;40;0;0;0;0;440;433; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
72987; 0.60; 1.70; 21.62; 10223.80; 13.07; 716.63;403;0;22;3;4;14;45;42;0;0;0;0;440;456; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
74987; 0.60; 1.80; 21.63; 10223.60; 13.06; 719.71;403;0;22;3;4;14;45;44;0;0;0;0;437;424; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
76987; 0.60; 1.70; 21.63; 10223.60; 13.06; 719.71;400;0;22;3;4;14;45;46;0;0;0;0;436;459; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
78987; 0.60; 1.50; 21.63; 10223.60; 13.05; 720.49;403;0;22;3;4;14;45;48;0;0;0;0;446;493; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
80987; 0.60; 1.50; 21.64; 10223.40; 13.04; 715.10;400;0;22;3;4;14;45;50;0;0;0;0;453;437; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
82987; 0.60; 1.50; 21.64; 10223.20; 13.04; 716.63;400;0;22;3;4;14;45;52;0;0;0;0;446;440; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
84987; 0.60; 1.40; 21.64; 10223.40; 13.04; 719.71;403;0;22;3;4;14;45;54;0;0;0;0;448;460; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.80; ERRORS : 
86987; 0.60; 1.40; 21.65; 10223.40; 13.03; 717.40;400;0;22;3;4;14;45;56;0;0;0;0;451;452; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
88987; 0.60; 1.60; 21.65; 10223.40; 13.01; 717.40;400;0;22;3;4;14;45;58;0;0;0;0;446;410; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
90987; 0.60; 1.80; 21.65; 10223.40; 13.01; 722.04;400;0;22;3;4;14;46;0;0;0;0;0;445;443; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
92987; 0.60; 1.80; 21.66; 10223.40; 13.01; 720.49;400;0;22;3;4;14;46;2;0;0;0;0;442;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
94987; 0.60; 1.90; 21.66; 10223.40; 13.00; 715.86;400;0;22;3;4;14;46;4;0;0;0;0;436;394; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
96987; 0.60; 2.00; 21.66; 10223.60; 12.99; 725.96;400;0;22;3;4;14;46;6;0;0;0;0;437;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
98987; 0.60; 2.00; 21.66; 10223.80; 12.99; 720.49;400;0;22;3;4;14;46;8;0;0;0;0;440;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.80; ERRORS : 
100987; 0.60; 2.00; 21.67; 10223.60; 12.99; 721.26;400;0;22;3;4;14;46;10;0;0;0;0;443;436; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
102987; 0.60; 2.00; 21.67; 10223.60; 12.98; 718.17;400;0;22;3;4;14;46;12;0;0;0;0;443;427; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
104987; 0.60; 1.90; 21.67; 10223.60; 12.96; 719.71;400;0;22;3;4;14;46;14;0;0;0;0;447;457; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
106987; 0.60; 1.90; 21.68; 10223.60; 12.96; 724.38;405;0;22;3;4;14;46;16;0;0;0;0;446;465; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
108987; 0.60; 2.00; 21.68; 10223.60; 12.95; 722.82;400;0;22;3;4;14;46;18;0;0;0;0;443;421; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
110987; 0.60; 2.00; 21.68; 10223.40; 12.95; 722.04;405;0;22;3;4;14;46;20;0;0;0;0;445;433; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
112987; 0.50; 1.90; 21.69; 10223.40; 12.94; 723.60;405;0;22;3;4;14;46;22;0;0;0;0;446;443; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
114987; 0.50; 1.90; 21.69; 10223.20; 12.93; 721.26;405;0;22;3;4;14;46;24;0;0;0;0;445;470; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
116987; 0.50; 1.80; 21.69; 10223.10; 12.91; 730.71;405;0;22;3;4;14;46;26;0;0;0;0;448;452; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
118987; 0.50; 1.70; 21.70; 10223.10; 12.92; 730.71;405;0;22;3;4;14;46;28;0;0;0;0;442;425; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
120987; 0.50; 1.50; 21.70; 10223.10; 12.91; 720.49;400;0;22;3;4;14;46;30;0;0;0;0;447;478; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.03; ERRORS : 
122987; 0.50; 1.60; 21.70; 10223.10; 12.91; 724.38;405;0;22;3;4;14;46;32;0;0;0;0;443;432; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
124987; 0.60; 1.50; 21.70; 10223.10; 12.90; 725.17;400;0;22;3;4;14;46;34;0;0;0;0;443;413; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
126987; 0.50; 1.40; 21.71; 10223.10; 12.88; 724.38;400;0;22;3;4;14;46;36;0;0;0;0;443;433; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
128987; 0.50; 1.30; 21.71; 10222.90; 12.88; 723.60;400;0;22;3;4;14;46;38;0;0;0;0;445;455; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.00; ERRORS : 
130987; 0.50; 1.30; 21.71; 10222.90; 12.88; 731.51;400;0;22;3;4;14;46;40;0;0;0;0;444;453; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
132987; 0.50; 1.20; 21.72; 10222.90; 12.87; 729.91;400;0;22;3;4;14;46;42;0;0;0;0;441;398; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
134987; 0.50; 1.30; 21.72; 10223.10; 12.86; 733.11;400;0;22;3;4;14;46;44;0;0;0;0;438;444; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
136987; 0.50; 1.20; 21.72; 10223.10; 12.86; 729.12;400;0;22;3;4;14;46;46;0;0;0;0;448;484; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
138987; 0.50; 1.10; 21.72; 10223.10; 12.86; 735.53;400;0;22;3;4;14;46;48;0;0;0;0;452;464; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.00; ERRORS : 
140987; 0.60; 1.20; 21.73; 10222.90; 12.85; 726.74;400;0;22;3;4;14;46;50;0;0;0;0;447;406; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
142987; 0.60; 1.30; 21.73; 10222.90; 12.85; 732.31;402;0;22;3;4;14;46;52;0;0;0;0;441;436; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
144987; 0.60; 1.40; 21.73; 10222.90; 12.84; 728.33;402;0;22;3;4;14;46;54;0;0;0;0;440;437; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
146987; 0.60; 1.40; 21.74; 10223.10; 12.83; 726.74;407;1;22;3;4;14;46;56;0;0;0;0;444;489; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
148987; 0.60; 1.30; 21.74; 10222.90; 12.83; 723.60;402;0;22;3;4;14;46;58;0;0;0;0;444;446; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
150987; 0.60; 1.40; 21.75; 10222.90; 12.82; 727.53;402;0;22;3;4;14;47;0;0;0;0;0;444;432; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.80; ERRORS : 
152987; 0.60; 1.30; 21.75; 10222.90; 12.82; 730.71;402;0;22;3;4;14;47;2;0;0;0;0;446;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.80; ERRORS : 
154987; 0.50; 1.20; 21.75; 10222.90; 12.81; 731.51;402;0;22;3;4;14;47;4;0;0;0;0;447;464; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -336.64; ERRORS : 
156987; 0.60; 1.30; 21.75; 10223.10; 12.80; 729.91;400;0;22;3;4;14;47;6;0;0;0;0;443;449; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
158987; 0.60; 1.30; 21.76; 10223.20; 12.80; 727.53;402;0;22;3;4;14;47;8;0;0;0;0;441;449; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
160987; 0.60; 1.50; 21.76; 10223.40; 12.80; 726.74;407;1;22;3;4;14;47;10;0;0;0;0;442;460; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -332.61; ERRORS : 
162987; 0.60; 1.50; 21.76; 10223.40; 12.80; 738.78;402;0;22;3;4;14;47;12;0;0;0;0;441;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
164987; 0.60; 1.50; 21.76; 10223.40; 12.78; 729.12;402;0;22;3;4;14;47;14;0;0;0;0;437;398; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
166987; 0.60; 1.50; 21.77; 10223.20; 12.77; 732.31;402;0;22;3;4;14;47;16;0;0;0;0;440;445; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
168987; 0.50; 1.50; 21.77; 10223.10; 12.77; 733.91;402;0;22;3;4;14;47;18;0;0;0;0;437;421; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
170987; 0.50; 1.40; 21.77; 10223.10; 12.77; 737.15;407;1;22;3;4;14;47;20;0;0;0;0;446;477; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -336.64; ERRORS : 
172987; 0.50; 1.30; 21.78; 10223.60; 12.76; 729.12;407;1;22;3;4;14;47;22;0;0;0;0;445;418; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
174987; 0.50; 1.20; 21.78; 10223.60; 12.75; 737.15;407;1;22;3;4;14;47;24;0;0;0;0;438;407; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
176987; 0.50; 1.50; 21.78; 10223.40; 12.76; 730.71;407;1;22;3;4;14;47;26;0;0;0;0;440;455; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -333.42; ERRORS : 
178987; 0.60; 1.60; 21.78; 10223.40; 12.74; 731.51;402;0;22;3;4;14;47;28;0;0;0;0;446;468; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.00; ERRORS : 
180987; 0.60; 1.60; 21.79; 10223.20; 12.74; 732.31;407;1;22;3;4;14;47;30;0;0;0;0;446;479; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
182987; 0.60; 1.60; 21.79; 10223.20; 12.73; 731.51;407;1;22;3;4;14;47;32;0;0;0;0;447;449; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -334.22; ERRORS : 
184987; 0.60; 1.70; 21.79; 10223.10; 12.72; 737.96;407;1;22;3;4;14;47;34;0;0;0;0;446;468; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -331.00; ERRORS : 
186987; 0.60; 1.70; 21.80; 10223.40; 12.71; 734.72;402;0;22;3;4;14;47;36;0;0;0;0;445;429; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -335.83; ERRORS : 
