processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
6000,13.00, 71.50,9.40, 10103.90, 17.05, 1206.28,0, 0,22,4,1,5,46,42,119799280, 576897792, 0, 1,00715, 00754,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-303.60,
8000,10.20, 49.10,9.39, 10103.90, 16.86, 1216.09,400, 0,22,4,1,5,46,46,119799184, 576897792, 0, 1,00719, 00732,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-302.79,
10000,7.40, 36.70,9.38, 10104.10, 16.78, 1235.08,400, 0,22,4,1,5,46,47,119799128, 576897792, 0, 1,00724, 00729,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-303.60,
12000,5.70, 27.80,9.38, 10104.10, 16.66, 1226.07,400, 0,22,4,1,5,46,50,119799048, 576897920, 0, 1,00726, 00742,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-300.38,
14000,4.40, 22.70,9.37, 10104.10, 16.54, 1239.63,400, 0,22,4,1,5,46,52,119799016, 576897984, 0, 1,00728, 00730,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-304.40,
16000,3.60, 18.80,9.35, 10104.10, 16.43, 1235.08,400, 0,22,4,1,5,46,54,119798960, 576898048, 0, 1,00724, 00706,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-301.18,
18000,3.20, 15.80,9.33, 10104.10, 16.35, 1250.00,400, 0,22,4,1,5,46,56,119798912, 576898112, 0, 1,00719, 00720,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-303.60,
20000,2.90, 15.40,9.31, 10104.10, 16.30, 1255.84,400, 0,22,4,1,5,46,58,119798896, 576898112, 0, 1,00720, 00719,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-303.60,
22000,2.40, 12.20,9.29, 10104.20, 16.24, 1261.73,400, 0,22,4,1,5,47,0,119798864, 576898176, 0, 1,00715, 00685,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-302.79,
24000,2.20, 10.40,9.26, 10103.90, 16.19, 1254.66,400, 0,22,4,1,5,47,2,119798832, 576898176, 0, 1,00708, 00727,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-302.79,
26000,2.20, 10.20,9.23, 10104.20, 16.17, 1266.48,400, 0,22,4,1,5,47,4,119798832, 576898176, 0, 1,00710, 00690,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-301.99,
28000,2.20, 10.50,9.21, 10104.20, 16.19, 1265.29,400, 0,22,4,1,5,47,6,119798848, 576898176, 0, 1,00708, 00713,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-304.40,
