processor_millis,SDS011_pm25, SDS011_pm10,BME680_temperature, BME680_pressure, BME680_humidity, BME680_gasResistance,CCS811_C02, CCS811_TVOC,GPS_year, GPS_month, GPS_day, GPS_hour, GPS_minute, GPS_seconds, GPS_longitude, GPS_latitude, GPS_noSaltilites, GPS_fix,CozIr_Co2, CozIr_Co2_filtered,SN1_WE_u, SN1_AE_u, SN2_WE_u, SN2_AE_u, NO2, O3, PT1000 temp,Errors
Starting!
42000,5.00, 21.40,11.22, 10101.00, 17.46, 423.89,400, 0,22,4,1,5,45,1,119780584, 576901632, 0, 1,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06, CozIR
44000,4.00, 15.90,11.13, 10100.80, 17.27, 424.43,400, 0,22,4,1,5,45,4,119780480, 576901504, 0, 1,00423, 00425,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
46000,3.40, 13.70,11.04, 10101.20, 17.17, 427.41,400, 0,22,4,1,5,45,6,119780480, 576901376, 0, 1,00418, 00399,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
48000,3.10, 11.20,10.97, 10101.00, 17.05, 428.51,400, 0,22,4,1,5,45,8,119780496, 576901248, 0, 1,00418, 00407,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
50000,2.80, 9.40,10.91, 10101.20, 16.95, 429.06,400, 0,22,4,1,5,45,10,119780528, 576900992, 0, 1,00414, 00400,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
52000,2.60, 9.30,10.85, 10101.20, 16.86, 431.27,400, 0,22,4,1,5,45,12,119780512, 576901056, 0, 1,00418, 00436,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
54000,2.40, 8.60,10.80, 10101.00, 16.78, 431.27,400, 0,22,4,1,5,45,14,119780584, 576901120, 0, 1,00416, 00406,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.86,
56000,2.30, 7.80,10.76, 10101.20, 16.72, 431.55,400, 0,22,4,1,5,45,16,119780616, 576901120, 0, 1,00418, 00398,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
58000,2.20, 7.70,10.71, 10101.00, 16.67, 433.79,400, 0,22,4,1,5,45,18,119780600, 576901056, 0, 1,00419, 00403,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
60000,2.10, 6.90,10.68, 10101.00, 16.59, 438.62,400, 0,22,4,1,5,45,20,119780616, 576901056, 0, 1,00414, 00405,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
62000,2.00, 6.70,10.64, 10101.00, 16.55, 441.22,400, 0,22,4,1,5,45,22,119780632, 576900992, 0, 1,00416, 00419,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
64000,1.90, 6.50,10.61, 10101.20, 16.50, 442.39,400, 0,22,4,1,5,45,24,119780632, 576900992, 0, 1,00416, 00418,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-334.22,
66000,1.80, 6.50,10.57, 10101.20, 16.47, 442.68,400, 0,22,4,1,5,45,26,119780648, 576900992, 0, 1,00414, 00414,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
68000,1.70, 6.30,10.54, 10101.00, 16.41, 443.85,400, 0,22,4,1,5,45,28,119780648, 576900928, 0, 1,00417, 00427,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
70000,1.70, 6.50,10.51, 10101.20, 16.38, 450.12,400, 0,22,4,1,5,45,30,119780680, 576900928, 0, 1,00414, 00388,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
72000,1.70, 6.20,10.48, 10101.20, 16.34, 448.01,400, 0,22,4,1,5,45,32,119780728, 576900864, 0, 1,00410, 00410,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
74000,1.70, 6.70,10.45, 10101.20, 16.30, 450.12,400, 0,22,4,1,5,45,34,119780800, 576900864, 0, 1,00409, 00396,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
76000,1.70, 7.60,10.42, 10101.40, 16.27, 451.34,400, 0,22,4,1,5,45,36,119780848, 576900800, 0, 1,00409, 00414,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
78000,1.50, 7.00,10.39, 10101.00, 16.23, 453.78,400, 0,22,4,1,5,45,38,119780912, 576900800, 0, 1,00409, 00427,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
80000,1.50, 6.70,10.37, 10101.20, 16.22, 457.51,400, 0,22,4,1,5,45,40,119780944, 576900736, 0, 1,00413, 00422,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
82000,1.50, 7.10,10.33, 10101.20, 16.20, 458.45,400, 0,22,4,1,5,45,42,119781032, 576900672, 0, 1,00417, 00443,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
84000,1.50, 8.00,10.31, 10101.40, 16.19, 459.39,400, 0,22,4,1,5,45,44,119781200, 576900416, 0, 1,00419, 00439,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
86000,1.50, 7.80,10.28, 10101.20, 16.18, 461.93,400, 0,22,4,1,5,45,46,119781216, 576900288, 0, 1,00419, 00422,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
88000,1.60, 8.30,10.25, 10101.20, 16.17, 463.52,400, 0,22,4,1,5,45,48,119781184, 576900032, 0, 1,00416, 00397,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
90000,1.70, 9.20,10.22, 10101.20, 16.16, 466.11,400, 0,22,4,1,5,45,50,119781184, 576899776, 0, 1,00414, 00413,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
92000,1.70, 9.00,10.20, 10101.20, 16.15, 467.74,400, 0,22,4,1,5,45,52,119781280, 576899648, 0, 1,00416, 00419,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
94000,1.70, 9.80,10.17, 10101.20, 16.14, 470.37,400, 0,22,4,1,5,45,54,119781328, 576899648, 0, 1,00416, 00410,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
96000,1.70, 10.10,10.14, 10101.40, 16.13, 472.69,400, 0,22,4,1,5,45,56,119781264, 576899584, 0, 1,00416, 00417,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
98000,1.70, 10.20,10.12, 10101.20, 16.12, 475.04,400, 0,22,4,1,5,45,58,119781200, 576899584, 8, 1,00418, 00419,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-340.67,
100000,1.70, 10.10,10.09, 10101.20, 16.13, 476.05,400, 0,22,4,1,5,46,0,119781096, 576899456, 8, 1,00414, 00410,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
102000,1.80, 10.00,10.06, 10101.40, 16.11, 477.41,400, 0,22,4,1,5,46,2,119781096, 576899456, 8, 1,00412, 00423,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
104000,1.70, 9.40,10.04, 10101.20, 16.10, 480.84,400, 0,22,4,1,5,46,4,119781112, 576899520, 8, 1,00410, 00409,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
106000,1.70, 8.50,10.01, 10101.20, 16.10, 481.88,400, 0,22,4,1,5,46,6,119781080, 576899456, 8, 1,00409, 00384,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
108000,1.70, 8.60,9.98, 10101.40, 16.08, 485.02,400, 0,22,4,1,5,46,8,119781144, 576899328, 8, 1,00409, 00406,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
110000,1.70, 9.10,9.96, 10101.00, 16.08, 486.79,400, 0,22,4,1,5,46,10,119781168, 576899392, 8, 1,00413, 00421,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
112000,1.70, 7.70,9.94, 10101.20, 16.06, 486.79,400, 0,22,4,1,5,46,12,119781144, 576899456, 8, 1,00410, 00413,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
114000,1.70, 6.40,9.91, 10101.40, 16.06, 489.99,400, 0,22,4,1,5,46,14,119781112, 576899456, 8, 1,00412, 00407,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
116000,1.70, 7.10,9.88, 10101.20, 16.07, 492.15,400, 0,22,4,1,5,46,16,119781064, 576899456, 8, 1,00410, 00423,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
118000,1.60, 6.40,9.86, 10101.20, 16.07, 494.34,407, 1,22,4,1,5,46,18,119781016, 576899520, 8, 1,00414, 00410,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
120000,1.50, 5.40,9.84, 10101.20, 16.08, 494.70,402, 0,22,4,1,5,46,20,119780984, 576899520, 8, 1,00416, 00413,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
122000,1.40, 5.50,9.81, 10101.00, 16.09, 494.70,400, 0,22,4,1,5,46,22,119780928, 576899584, 8, 1,00416, 00412,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
124000,1.40, 5.00,9.78, 10101.20, 16.11, 495.43,400, 0,22,4,1,5,46,24,119780912, 576899584, 8, 1,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45, CozIR
126000,1.30, 4.50,9.76, 10101.20, 16.13, 498.76,400, 0,22,4,1,5,46,26,119780912, 576899584, 8, 1,00414, 00419,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
128000,1.40, 5.20,9.73, 10101.00, 16.14, 499.87,400, 0,22,4,1,5,46,28,119780912, 576899648, 8, 1,00414, 00421,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
130000,1.30, 5.10,9.71, 10101.20, 16.17, 503.63,400, 0,22,4,1,5,46,30,119780912, 576899648, 8, 1,00414, 00398,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
132000,1.30, 5.50,9.68, 10101.00, 16.19, 504.01,400, 0,22,4,1,5,46,32,119780944, 576899712, 8, 1,00416, 00404,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
134000,1.40, 6.00,9.66, 10101.00, 16.20, 504.77,403, 0,22,4,1,5,46,34,119780960, 576899712, 8, 1,00412, 00397,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
136000,1.40, 6.00,9.64, 10101.00, 16.24, 507.84,400, 0,22,4,1,5,46,36,119780984, 576899712, 8, 1,00411, 00404,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
138000,1.30, 5.90,9.61, 10101.20, 16.27, 509.77,403, 0,22,4,1,5,46,38,119781000, 576899712, 8, 1,00411, 00419,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.03,
140000,1.30, 5.70,9.59, 10101.00, 16.29, 510.16,400, 0,22,4,1,5,46,40,119781016, 576899712, 8, 1,00408, 00397,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
142000,1.30, 5.80,9.56, 10101.00, 16.31, 510.16,400, 0,22,4,1,5,46,42,119781032, 576899712, 8, 1,00408, 00431,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
144000,1.40, 6.00,9.53, 10101.00, 16.35, 514.08,400, 0,22,4,1,5,46,44,119781064, 576899712, 8, 1,00411, 00408,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
146000,1.40, 5.30,9.51, 10101.00, 16.39, 516.06,400, 0,22,4,1,5,46,46,119781096, 576899648, 8, 1,00413, 00417,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
148000,1.40, 5.50,9.49, 10101.00, 16.43, 517.26,400, 0,22,4,1,5,46,48,119781112, 576899648, 8, 1,00415, 00420,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
150000,1.40, 6.00,9.46, 10101.20, 16.45, 517.26,400, 0,22,4,1,5,46,50,119781144, 576899648, 8, 1,00413, 00387,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
152000,1.40, 6.80,9.44, 10101.00, 16.44, 520.07,400, 0,22,4,1,5,46,52,119781128, 576899712, 8, 1,00413, 00396,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
154000,1.40, 6.60,9.41, 10100.80, 16.44, 522.51,400, 0,22,4,1,5,46,54,119781144, 576899712, 8, 1,00413, 00413,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
156000,1.50, 7.00,9.39, 10101.00, 16.42, 524.55,400, 0,22,4,1,5,46,56,119781184, 576899712, 8, 1,00413, 00402,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
158000,1.40, 6.30,9.36, 10100.80, 16.40, 524.97,400, 0,22,4,1,5,46,58,119781216, 576899712, 8, 1,00413, 00404,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
160000,1.50, 6.20,9.34, 10100.80, 16.42, 527.03,400, 0,22,4,1,5,47,0,119781280, 576899776, 8, 1,00413, 00422,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
162000,1.40, 6.20,9.31, 10101.00, 16.43, 529.53,400, 0,22,4,1,5,47,2,119781360, 576899840, 8, 1,00409, 00391,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
164000,1.40, 5.60,9.29, 10101.20, 16.45, 529.95,400, 0,22,4,1,5,47,4,119781432, 576899840, 8, 1,00411, 00406,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
166000,1.40, 6.30,9.27, 10100.60, 16.48, 532.06,400, 0,22,4,1,5,47,6,119781496, 576899840, 8, 1,00415, 00446,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
168000,1.50, 6.40,9.24, 10100.80, 16.51, 533.76,400, 0,22,4,1,5,47,8,119781568, 576899840, 8, 1,00417, 00426,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
170000,1.50, 6.40,9.22, 10101.00, 16.53, 533.33,400, 0,22,4,1,5,47,10,119781616, 576899904, 8, 1,00416, 00420,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
172000,1.50, 6.40,9.19, 10100.60, 16.55, 532.48,400, 0,22,4,1,5,47,12,119781648, 576899904, 8, 1,00416, 00413,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
174000,1.40, 6.30,9.17, 10100.80, 16.60, 537.18,400, 0,22,4,1,5,47,14,119781664, 576899904, 8, 1,00417, 00415,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
176000,1.40, 6.40,9.15, 10101.00, 16.62, 541.09,400, 0,22,4,1,5,47,16,119781664, 576899904, 8, 1,00413, 00393,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
178000,1.40, 6.30,9.12, 10100.80, 16.65, 539.78,400, 0,22,4,1,5,47,18,119781632, 576899968, 8, 1,00411, 00400,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
180000,1.40, 5.90,9.10, 10100.60, 16.69, 537.62,400, 0,22,4,1,5,47,20,119781616, 576899968, 8, 1,00413, 00417,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
182000,1.40, 5.60,9.07, 10101.00, 16.73, 540.65,400, 0,22,4,1,5,47,21,119781600, 576899968, 8, 1,00409, 00418,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
184000,1.40, 5.50,9.04, 10100.60, 16.79, 543.29,400, 0,22,4,1,5,47,23,119781568, 576899968, 8, 1,00408, 00375,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
186000,1.40, 5.00,9.02, 10100.80, 16.84, 541.97,400, 0,22,4,1,5,47,25,119781568, 576899968, 8, 1,00406, 00405,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.03,
188000,1.50, 5.20,8.99, 10101.20, 16.90, 544.61,400, 0,22,4,1,5,47,27,119781600, 576899968, 8, 1,00408, 00430,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
190000,1.50, 6.30,8.96, 10100.80, 16.94, 549.08,400, 0,22,4,1,5,47,29,119781616, 576899968, 8, 1,00406, 00386,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
192000,1.60, 6.70,8.94, 10101.00, 16.96, 549.53,400, 0,22,4,1,5,47,31,119781648, 576899968, 8, 1,00406, 00411,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
194000,1.50, 7.00,8.91, 10101.00, 16.98, 551.80,400, 0,22,4,1,5,47,33,119781680, 576899968, 8, 1,00409, 00417,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
196000,1.50, 6.30,8.88, 10101.20, 17.02, 550.89,400, 0,22,4,1,5,47,35,119781712, 576899968, 8, 1,00408, 00394,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
198000,1.50, 6.40,8.86, 10100.80, 17.05, 550.89,400, 0,22,4,1,5,47,37,119781728, 576899968, 8, 1,00405, 00404,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
200000,1.50, 6.70,8.83, 10101.00, 17.06, 553.62,400, 0,22,4,1,5,47,39,119781744, 576899968, 8, 1,00408, 00411,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
202000,1.50, 7.10,8.80, 10100.80, 17.08, 551.80,400, 0,22,4,1,5,47,42,119781728, 576899968, 8, 1,00404, 00373,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
204000,1.50, 7.30,8.78, 10101.00, 17.09, 552.71,400, 0,22,4,1,5,47,43,119781728, 576899968, 8, 1,00402, 00409,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
206000,1.50, 7.20,8.75, 10101.00, 17.10, 554.54,400, 0,22,4,1,5,47,45,119781728, 576899968, 8, 1,00404, 00429,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
208000,1.60, 7.70,8.73, 10101.00, 17.10, 555.46,400, 0,22,4,1,5,47,47,119781728, 576899968, 8, 1,00406, 00408,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
210000,1.60, 7.70,8.70, 10100.80, 17.11, 558.24,400, 0,22,4,1,5,47,49,119781744, 576899904, 8, 1,00406, 00408,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
212000,1.50, 7.80,8.68, 10101.00, 17.12, 560.11,402, 0,22,4,1,5,47,51,119781760, 576899904, 8, 1,00404, 00399,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
214000,1.60, 8.50,8.65, 10101.00, 17.13, 561.52,400, 0,22,4,1,5,47,53,119781600, 576899840, 8, 1,00403, 00412,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
216000,1.60, 9.40,8.63, 10100.80, 17.14, 560.11,405, 0,22,4,1,5,47,55,119781464, 576899840, 8, 1,00401, 00398,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
218000,1.60, 9.90,8.61, 10101.00, 17.16, 563.88,405, 0,22,4,1,5,47,57,119781416, 576899840, 8, 1,00404, 00410,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
220000,1.60, 8.70,8.59, 10101.00, 17.19, 561.99,405, 0,22,4,1,5,47,59,119781344, 576899840, 8, 1,00401, 00395,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
222000,1.60, 8.70,8.56, 10101.00, 17.24, 565.79,405, 0,22,4,1,5,48,2,119781264, 576899840, 8, 1,00400, 00384,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
224000,1.60, 8.60,8.54, 10100.80, 17.27, 568.67,400, 0,22,4,1,5,48,3,119781248, 576899840, 8, 1,00401, 00425,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
226000,1.60, 8.70,8.52, 10101.00, 17.32, 562.46,400, 0,22,4,1,5,48,5,119781280, 576899776, 8, 1,00403, 00386,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
228000,1.60, 9.40,8.50, 10101.00, 17.37, 569.64,403, 0,22,4,1,5,48,7,119781416, 576899712, 8, 1,00401, 00389,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
230000,1.70, 10.40,8.47, 10101.20, 17.43, 566.75,400, 0,22,4,1,5,48,9,119781448, 576899712, 8, 1,00398, 00377,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.86,
232000,1.70, 10.40,8.45, 10101.40, 17.46, 571.59,400, 0,22,4,1,5,48,11,119781480, 576899712, 8, 1,00396, 00364,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
234000,1.70, 11.20,8.43, 10101.40, 17.50, 566.27,403, 0,22,4,1,5,48,13,119781480, 576899648, 8, 1,00394, 00388,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-335.83,
236000,1.70, 11.10,8.41, 10100.80, 17.53, 567.71,400, 0,22,4,1,5,48,15,119781464, 576899712, 8, 1,00394, 00399,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-339.06,
238000,1.80, 11.10,8.39, 10101.00, 17.55, 574.04,403, 0,22,4,1,5,48,17,119781464, 576899712, 8, 1,00394, 00397,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
240000,1.80, 11.10,8.36, 10101.00, 17.56, 577.01,400, 0,22,4,1,5,48,19,119781432, 576899712, 8, 1,00396, 00423,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
242000,1.80, 11.00,8.34, 10101.20, 17.58, 573.55,403, 0,22,4,1,5,48,22,119781432, 576899712, 8, 1,00399, 00420,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
244000,1.70, 10.60,8.32, 10101.40, 17.60, 572.57,400, 0,22,4,1,5,48,23,119781432, 576899712, 8, 1,00399, 00370,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
246000,1.70, 10.30,8.30, 10100.80, 17.62, 575.03,403, 0,22,4,1,5,48,25,119781448, 576899776, 8, 1,00400, 00425,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-337.45,
248000,1.70, 9.90,8.27, 10100.80, 17.64, 577.01,400, 0,22,4,1,5,48,27,119781448, 576899776, 8, 1,00401, 00403,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
250000,1.80, 11.00,8.25, 10101.00, 17.67, 576.02,408, 1,22,4,1,5,48,29,119781496, 576899776, 8, 1,00401, 00397,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-336.64,
252000,1.70, 10.90,8.23, 10101.00, 17.70, 578.50,405, 0,22,4,1,5,48,31,119781528, 576899840, 8, 1,00400, 00393,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-338.25,
