processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2987; 0.40; 1.30; 23.11; 10222.50; 11.18; 1442.52;414;2;22;3;4;14;44;31;0;0;0;0;397;384; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -294.73; ERRORS : 
4987; 0.40; 1.20; 23.12; 10222.40; 11.17; 1448.80;414;2;22;3;4;14;44;33;0;0;0;0;405;424; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -289.90; ERRORS : 
6987; 0.40; 1.20; 23.12; 10222.50; 11.16; 1445.65;408;1;22;3;4;14;44;35;0;0;0;0;409;484; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -290.71; ERRORS : 
8987; 0.40; 1.20; 23.12; 10222.40; 11.15; 1445.65;414;2;22;3;4;14;44;37;0;0;0;0;414;405; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -290.71; ERRORS : 
10987; 0.30; 1.10; 23.13; 10222.40; 11.15; 1437.84;417;2;22;3;4;14;44;39;0;0;0;0;415;377; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -292.32; ERRORS : 
12987; 0.40; 1.20; 23.14; 10222.40; 11.15; 1447.22;417;2;22;3;4;14;44;41;0;0;0;0;412;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -290.71; ERRORS : 
14987; 0.40; 1.40; 23.14; 10222.40; 11.15; 1433.19;414;2;22;3;4;14;44;43;0;0;0;0;407;376; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -289.09; ERRORS : 
16987; 0.40; 1.30; 23.14; 10222.40; 11.13; 1450.38;414;2;22;3;4;14;44;45;0;0;0;0;401;335; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -292.32; ERRORS : 
18987; 0.40; 1.40; 23.15; 10222.40; 11.14; 1440.95;414;2;22;3;4;14;44;47;0;0;0;0;403;412; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -290.71; ERRORS : 
20987; 0.40; 1.40; 23.15; 10222.40; 11.13; 1450.38;414;2;22;3;4;14;44;49;0;0;0;0;407;396; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -291.51; ERRORS : 
22987; 0.40; 1.60; 23.16; 10222.50; 11.13; 1447.22;414;2;22;3;4;14;44;51;0;0;0;0;412;431; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -290.71; ERRORS : 
