processor_millis; SDS011_pm25; SDS011_pm10; BME680_temperature; BME680_pressure; BME680_humidity; BME680_gasResistance;CCS811_C02; CCS811_TVOC;GPS_year; GPS_month; GPS_day; GPS_hour; GPS_minute; GPS_seconds; GPS_longitude; GPS_latitude; GPS_noSaltilites; GPS_fix;CozIr_Co2; CozIr_Co2_filtered;SN1_WE_u; SN1_AE_u; SN2_WE_u; SN2_AE_u; NO2; O3; PT1000 temp;
Starting!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2987; 0.60; 1.10; 21.80; 10224.50; 12.06; 1002.25;403;0;22;3;4;14;44;33;0;0;0;0;423;398; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -296.35; ERRORS : 
4987; 0.60; 1.10; 21.81; 10224.30; 12.06; 998.50;403;0;22;3;4;14;44;34;0;0;0;0;425;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.12; ERRORS : 
6987; 0.50; 1.10; 21.81; 10224.30; 12.04; 999.25;403;0;22;3;4;14;44;37;0;0;0;0;428;472; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -295.54; ERRORS : 
8987; 0.50; 1.10; 21.81; 10224.10; 12.04; 1001.50;403;0;22;3;4;14;44;39;0;0;0;0;431;442; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
10987; 0.50; 1.10; 21.81; 10224.10; 12.04; 1006.03;403;0;22;3;4;14;44;40;0;0;0;0;430;406; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
12987; 0.50; 1.00; 21.82; 10224.10; 12.04; 997.76;403;0;22;3;4;14;44;43;0;0;0;0;424;438; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
14987; 0.50; 1.00; 21.82; 10224.10; 12.04; 998.50;400;0;22;3;4;14;44;44;0;0;0;0;425;435; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -294.73; ERRORS : 
16987; 0.40; 1.00; 21.82; 10224.30; 12.03; 999.25;400;0;22;3;4;14;44;47;0;0;0;0;421;407; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -295.54; ERRORS : 
18987; 0.40; 0.90; 21.82; 10224.30; 12.02; 1000.00;403;0;22;3;4;14;44;48;0;0;0;0;422;413; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
20987; 0.40; 0.80; 21.83; 10224.30; 12.03; 997.76;403;0;22;3;4;14;44;51;0;0;0;0;422;421; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
22987; 0.40; 0.80; 21.83; 10224.10; 12.02; 1003.76;400;0;22;3;4;14;44;52;0;0;0;0;428;456; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.12; ERRORS : 
24987; 0.30; 0.70; 21.83; 10224.10; 12.02; 1000.75;400;0;22;3;4;14;44;55;0;0;0;0;423;434; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
26987; 0.30; 0.60; 21.83; 10224.10; 12.02; 1005.27;400;0;22;3;4;14;44;56;0;0;0;0;418;402; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -295.54; ERRORS : 
28987; 0.30; 0.70; 21.84; 10223.90; 12.02; 999.25;400;0;22;3;4;14;44;59;0;0;0;0;418;401; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -292.32; ERRORS : 
30987; 0.40; 0.60; 21.84; 10224.30; 12.02; 1003.76;400;0;22;3;4;14;45;0;0;0;0;0;424;450; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -290.71; ERRORS : 
32987; 0.40; 0.60; 21.84; 10224.10; 12.01; 1002.25;403;0;22;3;4;14;45;3;0;0;0;0;428;424; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -295.54; ERRORS : 
34987; 0.40; 0.70; 21.85; 10224.10; 12.01; 999.25;400;0;22;3;4;14;45;4;0;0;0;0;432;438; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -291.51; ERRORS : 
36987; 0.30; 0.60; 21.85; 10223.90; 12.00; 1006.03;403;0;22;3;4;14;45;7;0;0;0;0;431;390; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -296.35; ERRORS : 
38987; 0.30; 0.60; 21.85; 10223.90; 12.00; 1003.00;403;0;22;3;4;14;45;8;0;0;0;0;425;380; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
40987; 0.40; 0.70; 21.86; 10223.90; 11.99; 1003.76;403;0;22;3;4;14;45;11;0;0;0;0;424;420; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.12; ERRORS : 
42987; 0.40; 0.80; 21.86; 10223.90; 11.99; 1003.76;403;0;22;3;4;14;45;12;0;0;0;0;421;397; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -294.73; ERRORS : 
44987; 0.40; 0.80; 21.86; 10224.30; 12.00; 1005.27;403;0;22;3;4;14;45;15;0;0;0;0;431;448; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -295.54; ERRORS : 
46987; 0.40; 0.80; 21.86; 10224.50; 11.98; 1003.00;403;0;22;3;4;14;45;16;0;0;0;0;425;412; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.93; ERRORS : 
48987; 0.40; 1.00; 21.87; 10224.50; 11.99; 1007.55;403;0;22;3;4;14;45;19;0;0;0;0;418;388; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -294.73; ERRORS : 
50987; 0.40; 1.00; 21.87; 10224.50; 11.97; 1000.75;403;0;22;3;4;14;45;20;0;0;0;0;418;431; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -291.51; ERRORS : 
52987; 0.50; 1.20; 21.87; 10224.50; 11.98; 1006.79;403;0;22;3;4;14;45;23;0;0;0;0;418;467; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.12; ERRORS : 
54987; 0.40; 1.20; 21.88; 10224.50; 11.97; 1002.25;403;0;22;3;4;14;45;24;0;0;0;0;417;445; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -293.12; ERRORS : 
56987; 0.40; 1.20; 21.88; 10224.30; 11.96; 1002.25;403;0;22;3;4;14;45;27;0;0;0;0;417;406; -1.00; -1.00; -1.00; -1.00; -1.00; -1.00; -291.51; ERRORS : 
